Column1,Column2,Column3,Column4,Nr of Blocks,Mem: Bitstream,Parsing,First column,DPCM to YCCC,YCCC to Bayer,Mem: device to host,Total time
0,5616,3728,20936448,32,164,2363,1,41,4,1,2608
0,5616,3728,20936448,64,7,674,4,55,4,1,776
0,5616,3728,20936448,128,13,346,2,53,4,1,457
0,5616,3728,20936448,256,11,186,1,49,2,1,271
0,5616,3728,20936448,512,16,101,1,50,6,1,200
0,5616,3728,20936448,1024,31,60,1,50,2,1,165
0,5616,3728,20936448,2048,74,35,1,50,3,1,189
1,4224,2832,11962368,32,155,754,1,29,1,0,967
1,4224,2832,11962368,64,8,441,5,29,2,0,529
1,4224,2832,11962368,128,9,217,6,30,1,0,305
1,4224,2832,11962368,256,9,116,2,28,1,0,177
1,4224,2832,11962368,512,22,63,1,28,1,0,143
1,4224,2832,11962368,1024,21,43,1,29,1,0,118
1,4224,2832,11962368,2048,42,25,1,29,1,0,120
2,5984,3984,23840256,32,130,2765,2,57,2,2,2995
2,5984,3984,23840256,64,8,880,2,64,3,1,1004
2,5984,3984,23840256,128,11,380,1,58,2,1,519
2,5984,3984,23840256,256,16,243,1,43,2,1,336
2,5984,3984,23840256,512,15,128,1,44,2,1,213
2,5984,3984,23840256,1024,30,75,1,44,2,1,174
2,5984,3984,23840256,2048,68,40,1,58,2,1,195
3,6992,6992,48888064,32,128,4005,2,0,0,1019,5179
3,6992,6992,48888064,64,18,2291,2,56,9,2,2434
3,6992,6992,48888064,128,45,752,1,69,55,2,976
3,6992,6992,48888064,256,21,434,1,68,14,3,563
3,6992,6992,48888064,512,34,236,1,51,10,2,358
3,6992,6992,48888064,1024,30,141,2,68,9,2,275
3,6992,6992,48888064,2048,60,149,1,69,25,4,329
4,4512,4096,18481152,32,125,4,2,0,0,1013,1173
4,4512,4096,18481152,64,3,545,2,49,2,1,665
4,4512,4096,18481152,128,4,261,2,46,1,1,344
4,4512,4096,18481152,256,9,148,1,43,1,0,226
4,4512,4096,18481152,512,17,75,1,43,2,0,161
4,4512,4096,18481152,1024,26,41,1,33,1,1,129
4,4512,4096,18481152,2048,69,23,1,45,2,1,164
